split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,split4_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_test_mae,split1_test_mae,split2_test_mae,split3_test_mae,split4_test_mae,mean_test_mae,std_test_mae,rank_test_mae,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_lr_all,param_n_factors,param_reg_all,param_n_epochs
1.222318956088309,1.230532412780359,1.2205500215653715,1.232790050505289,1.2217443705117705,1.22558716229022,0.005042977457051609,7,0.9165811934262663,0.919376988892762,0.9144625580496852,0.9248904532926239,0.9188329375960491,0.9188288262514772,0.003497426851196751,10,0.39795632362365724,0.050223694657986845,0.1560439109802246,0.017814266230219606,"{'lr_all': 0.01, 'n_factors': 10, 'reg_all': 0.1, 'n_epochs': 25}",0.01,10,0.1,25
1.2403657151456107,1.2459664053065722,1.2411873731303216,1.2451692813877417,1.24155939973991,1.2428496349420313,0.002266834616856272,13,0.9266618435134268,0.9276127067414497,0.9263913874317925,0.9318760205099232,0.928838147829266,0.9282760212051716,0.00199365902269161,13,0.7484475612640381,0.034916517446863304,0.18841018676757812,0.04077276571659117,"{'lr_all': 0.01, 'n_factors': 10, 'reg_all': 0.1, 'n_epochs': 50}",0.01,10,0.1,50
1.2484776107973083,1.2573952620041353,1.2519038891338923,1.2614272978411922,1.2549955021298327,1.2548399123812721,0.004450770293262817,15,0.9326256410931966,0.9358974148056027,0.9332901253505008,0.9400705336774305,0.9403451082166101,0.9364457646286681,0.0032617762548133814,15,1.6108119487762451,0.10330747379721109,0.1643683910369873,0.015637410819732238,"{'lr_all': 0.01, 'n_factors': 10, 'reg_all': 0.1, 'n_epochs': 100}",0.01,10,0.1,100
1.2179115716244355,1.2263373413383056,1.2190717520712515,1.227698872007182,1.2191915095366788,1.2220422093155707,0.0041099456226212855,5,0.9141200702977625,0.9160542961147226,0.9125051746222739,0.9193976680551047,0.9157026676292175,0.9155559753438162,0.002297722935826932,6,0.6354530811309814,0.11657795149523208,0.19729528427124024,0.04136910569421817,"{'lr_all': 0.01, 'n_factors': 25, 'reg_all': 0.1, 'n_epochs': 25}",0.01,25,0.1,25
1.229878269647018,1.2414328525816771,1.229006404485472,1.2458566755837643,1.2346123239399864,1.2361573052475836,0.006555269965702491,12,0.9204998521218472,0.9255238743768557,0.918503299000325,0.9319365382257583,0.9242241326947788,0.924137539283913,0.004641793605189656,12,1.485910415649414,0.09177696159134456,0.19616503715515138,0.009212406770124377,"{'lr_all': 0.01, 'n_factors': 25, 'reg_all': 0.1, 'n_epochs': 50}",0.01,25,0.1,50
1.2399099183410203,1.2466898571058962,1.2444039185707327,1.254521056006237,1.241845971077175,1.2454741442202122,0.0050713746384163285,14,0.9276280515022082,0.9304792186764291,0.9293238377589572,0.9359343653954004,0.9286364106976472,0.9304003768061285,0.0029184772087311656,14,2.646921396255493,0.08100039353044927,0.21137003898620604,0.0465105488077993,"{'lr_all': 0.01, 'n_factors': 25, 'reg_all': 0.1, 'n_epochs': 100}",0.01,25,0.1,100
1.2152033167664478,1.2256558572194662,1.2165496871475612,1.228196298887653,1.2168263816681815,1.220486308337862,0.0053473402637976754,3,0.9112927003212193,0.9160345174114323,0.9110012692445119,0.9202325212586473,0.914656039493413,0.9146434095458448,0.0033960550239960693,4,0.9949211120605469,0.10702180504456299,0.17693419456481935,0.01397105271991151,"{'lr_all': 0.01, 'n_factors': 50, 'reg_all': 0.1, 'n_epochs': 25}",0.01,50,0.1,25
1.2246713716893658,1.2302905575514476,1.2255919091158662,1.2355349507790954,1.2259595950489934,1.2284096768369537,0.004055240611527192,10,0.9166679140477737,0.9174662024873175,0.916506333872971,0.924512909806974,0.9183668336935754,0.9187040387817224,0.002978746023056462,9,1.8505561351776123,0.07596885215638713,0.17397685050964357,0.011202808232411056,"{'lr_all': 0.01, 'n_factors': 50, 'reg_all': 0.1, 'n_epochs': 50}",0.01,50,0.1,50
1.227902417874062,1.237923522330211,1.2305661968544632,1.2402721574797038,1.2310703207625908,1.233546923060206,0.004717247621610841,11,0.9193461038746247,0.9228266019018867,0.919354650164781,0.9275136902045626,0.9207935289472892,0.9219669150186288,0.0030520547207458643,11,3.6841556549072267,0.13841535870139157,0.18961167335510254,0.015164541455071094,"{'lr_all': 0.01, 'n_factors': 50, 'reg_all': 0.1, 'n_epochs': 100}",0.01,50,0.1,100
1.2159131607107736,1.2232502617417236,1.2148433370091096,1.2232058324429547,1.2176718594631388,1.21897689027354,0.003586682657194172,2,0.9109154579320928,0.9136298578300079,0.9095915700473649,0.9166063195465782,0.9143595156091949,0.9130205441930478,0.0024984452887847684,2,1.3073002338409423,0.09785843653195206,0.17008380889892577,0.022597436786037678,"{'lr_all': 0.01, 'n_factors': 75, 'reg_all': 0.1, 'n_epochs': 25}",0.01,75,0.1,25
1.2205708911647937,1.2263927166844124,1.2216910916281807,1.2302598554723971,1.221744723840694,1.2241318557580956,0.003660602950070728,6,0.9135650842356665,0.9147011142552653,0.9133779058748591,0.9209624631167258,0.9141367874686901,0.9153486709902413,0.002844916529014567,5,2.4976261615753175,0.12345192964403384,0.1751779556274414,0.027606752062933688,"{'lr_all': 0.01, 'n_factors': 75, 'reg_all': 0.1, 'n_epochs': 50}",0.01,75,0.1,50
